Lane,Speed,StreetType,Distance,Received
3,13.88,primary,663.0002754,FALSE
3,13.88,primary,658.3898296,FALSE
1,13.88,primary,652.4906704,FALSE
3,13.88,primary,648.2698107,TRUE
3,13.88,primary,643.7542351,FALSE
3,13.88,primary,638.8765647,FALSE
3,13.88,primary,634.1288127,FALSE
3,13.88,primary,628.8201142,FALSE
3,13.88,primary,623.4734778,FALSE
3,13.88,primary,617.2670705,TRUE
3,13.88,primary,612.0821865,FALSE
3,13.88,primary,606.1066674,FALSE
3,13.88,primary,599.5804322,FALSE
3,13.88,primary,593.503664,FALSE
3,13.88,primary,586.0978037,FALSE
3,13.88,primary,580.1685922,TRUE
3,13.88,primary,573.9674243,FALSE
3,13.88,primary,568.2508741,FALSE
3,13.88,primary,561.1635154,FALSE
3,13.88,primary,554.0776416,FALSE
3,13.88,primary,545.3548511,FALSE
3,13.88,primary,537.7140772,FALSE
3,13.88,primary,529.7387364,FALSE
3,13.88,primary,520.8680679,FALSE
3,13.88,primary,520.8680679,FALSE
1,13.88,primary_link,520.8680679,FALSE
3,13.88,primary,513.9461947,FALSE
3,13.88,primary,503.6259921,TRUE
3,13.88,primary,489.0310331,FALSE
3,13.88,primary,483.8507925,FALSE
3,13.88,primary,478.9138603,FALSE
3,13.88,primary,474.8178213,FALSE
3,13.88,primary,469.8617836,FALSE
3,13.88,primary,464.4169173,FALSE
3,13.88,primary,459.0821888,FALSE
3,13.88,primary,458.6259453,TRUE
3,13.88,primary,453.6078748,FALSE
4,13.88,primary,446.8999793,FALSE
4,13.88,primary,441.7431487,FALSE
4,13.88,primary,436.1725271,TRUE
4,13.88,primary,429.0596741,FALSE
4,13.88,primary,422.5910782,FALSE
4,13.88,primary,422.3938059,FALSE
4,13.88,primary,417.7513399,TRUE
4,13.88,primary,412.9453122,FALSE
4,13.88,primary,412.1533122,FALSE
4,13.88,primary,411.1046366,FALSE
4,13.88,primary,407.3611069,FALSE
4,13.88,primary,401.8507888,FALSE
4,13.88,primary,401.1993978,TRUE
4,13.88,primary,395.5266727,FALSE
1,13.88,primary_link,388.1835337,FALSE
1,13.88,primary_link,380.5120306,FALSE
3,13.88,primary,367.6983511,TRUE
3,13.88,primary,361.5020486,FALSE
0,13.88,residential,355.0904673,TRUE
3,13.88,primary,355.0904673,TRUE
3,13.88,primary,348.5764958,FALSE
3,13.88,primary,340.8536799,FALSE
3,13.88,primary,332.9468186,TRUE
3,13.88,primary,332.0103735,FALSE
3,13.88,primary,324.4615192,FALSE
3,13.88,primary,312.9000924,FALSE
