Message ID; Time; Generation Time; Station ID; Position Latitude; Position Longitude; Speed; Heading;
-----------------------------------------------------------------------------------------------------
1; 1629623122.447600000; 556707927416066; 1210254390; 499403261; 84521519; 0.0; unknown;
2; 1629623123.459435000; 556707928416025; 1210254390; 499403261; 84521519; 0.0; unknown;
3; 1629623124.459540000; 556707929416028; 1210254390; 499403262; 84521519; 0.0; unknown;
4; 1629623125.446927000; 556707930416033; 1210254390; 499403262; 84521518; 0.0; unknown;
5; 1629623126.448972000; 556707931416020; 1210254390; 499403262; 84521518; 0.0; unknown;
6; 1629623127.449103000; 556707932416042; 1210254390; 499403262; 84521518; 0.0; unknown;
7; 1629623128.453107000; 556707933416028; 1210254390; 499403262; 84521518; 0.0; unknown;
8; 1629623129.447385000; 556707934416032; 1210254390; 499403262; 84521518; 0.0; unknown;
9; 1629623130.451368000; 556707935416003; 1210254390; 499403262; 84521517; 0.0; unknown;
10; 1629623131.452483000; 556707936416034; 1210254390; 499403262; 84521517; 0.0; unknown;
11; 1629623132.452571000; 556707937416034; 1210254390; 499403262; 84521517; 0.0; unknown;
12; 1629623133.452698000; 556707938416028; 1210254390; 499403262; 84521516; 0.0; unknown;
13; 1629623134.447977000; 556707939416035; 1210254390; 499403263; 84521516; 0.0; unknown;
14; 1629623135.448987000; 556707940416035; 1210254390; 499403263; 84521516; 0.0; unknown;
15; 1629623136.450085000; 556707941416028; 1210254390; 499403263; 84521516; 0.0; unknown;
16; 1629623137.458968000; 556707942416024; 1210254390; 499403264; 84521515; 0.0; unknown;
17; 1629623138.448362000; 556707943416031; 1210254390; 499403263; 84521515; 0.0; unknown;
18; 1629623139.449431000; 556707944416022; 1210254390; 499403264; 84521515; 0.0; unknown;
19; 1629623140.455387000; 556707945416032; 1210254390; 499403263; 84521515; 0.0; unknown;
20; 1629623141.453554000; 556707946416029; 1210254390; 499403263; 84521514; 0.0; unknown;
21; 1629623142.455560000; 556707947416048; 1210254390; 499403262; 84521514; 0.0; unknown;
22; 1629623143.452728000; 556707948416032; 1210254390; 499403262; 84521514; 0.0; unknown;
23; 1629623144.452844000; 556707949416039; 1210254390; 499403262; 84521514; 0.0; unknown;
24; 1629623145.446090000; 556707950416040; 1210254390; 499403262; 84521513; 0.0; unknown;
25; 1629623146.452049000; 556707951416034; 1210254390; 499403262; 84521513; 0.0; unknown;
26; 1629623147.450209000; 556707952416037; 1210254390; 499403262; 84521513; 0.0; unknown;
27; 1629623148.448380000; 556707953416044; 1210254390; 499403261; 84521512; 0.0; unknown;
